https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LSK,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1750809600000,2025-06-25 00:00:00,LSK/USDT,0.3755,0.3834,0.3629,0.367,3022304.8679,8103260.4347,1534131.3121,4113076.4036,51471,0.373
1750723200000,2025-06-24 00:00:00,LSK/USDT,0.371,0.3827,0.3634,0.3769,2988542.7965,8034724.3065,1547813.973,4161408.3166,51048,0.3719
1750636800000,2025-06-23 00:00:00,LSK/USDT,0.3482,0.3765,0.3432,0.3693,3191514.62,8994232.6706,1653163.6744,4658379.0227,54271,0.3549
1750550400000,2025-06-22 00:00:00,LSK/USDT,0.3625,0.3659,0.2832,0.3484,3076975.2439,8770876.7476,1579504.1646,4503002.8125,52870,0.3509
1750464000000,2025-06-21 00:00:00,LSK/USDT,0.3874,0.3884,0.3526,0.3625,3235582.6228,8588677.6023,1650698.0441,4381442.1667,55255,0.3769
1750377600000,2025-06-20 00:00:00,LSK/USDT,0.3851,0.4192,0.3652,0.3855,3114197.4191,8074914.6132,1599024.5494,4146760.0596,53037,0.3857
1750291200000,2025-06-19 00:00:00,LSK/USDT,0.3911,0.3945,0.381,0.3851,3006649.0115,7778247.7561,1546063.918,3999915.0481,50945,0.3865
1750204800000,2025-06-18 00:00:00,LSK/USDT,0.3902,0.3948,0.3639,0.392,2997498.1538,7747115.2981,1528604.4473,3950989.1508,50877,0.387
1750118400000,2025-06-17 00:00:00,LSK/USDT,0.4086,0.4158,0.2997,0.3891,3185403.8967,7958236.2507,1646228.3248,4113127.4659,55007,0.4006
1750032000000,2025-06-16 00:00:00,LSK/USDT,0.4107,0.4234,0.4016,0.4082,3334011.6794,8005359.1419,1712121.7011,4110980.664,56904,0.4165
1749945600000,2025-06-15 00:00:00,LSK/USDT,0.4062,0.4107,0.401,0.4102,3212063.8283,7885684.6941,1639887.0971,4026104.0824,54869,0.4073
1749859200000,2025-06-14 00:00:00,LSK/USDT,0.4082,0.4107,0.3966,0.4062,3170850.645,7817636.4766,1606247.4816,3960100.5681,54265,0.4056
1749772800000,2025-06-13 00:00:00,LSK/USDT,0.4215,0.4215,0.3865,0.4077,3192439.4039,7990682.8646,1668664.8878,4176294.4669,54198,0.3995
1749686400000,2025-06-12 00:00:00,LSK/USDT,0.4444,0.4459,0.4178,0.4213,3160443.7712,7280054.1055,1623310.2595,3739440.9853,53587,0.4342
1749600000000,2025-06-11 00:00:00,LSK/USDT,0.4551,0.4575,0.4401,0.4445,3228596.1598,7162742.642,1648733.4639,3657736.5618,59678,0.4507
1749513600000,2025-06-10 00:00:00,LSK/USDT,0.4511,0.4601,0.4428,0.4551,3205012.2223,7109558.9809,1671646.4323,3707957.5644,90605,0.4508
1749427200000,2025-06-09 00:00:00,LSK/USDT,0.4323,0.4525,0.4255,0.451,3229670.336,7396444.8734,1650438.6822,3780167.8045,91557,0.4367
1749340800000,2025-06-08 00:00:00,LSK/USDT,0.4335,0.4353,0.426,0.4319,3168076.5638,7315873.2369,1615927.7697,3731494.7494,89532,0.433
1749254400000,2025-06-07 00:00:00,LSK/USDT,0.4229,0.4353,0.4202,0.4331,3276158.5777,7600215.0055,1679035.5422,3895059.046,92779,0.431
1749168000000,2025-06-06 00:00:00,LSK/USDT,0.4133,0.4366,0.4091,0.4228,3200717.7747,7568546.1601,1652272.9459,3907020.8479,90795,0.4229
1749081600000,2025-06-05 00:00:00,LSK/USDT,0.4419,0.4467,0.4045,0.4132,2534716.5882,5842091.6515,1306801.2805,3012384.2433,71677,0.4341
1748995200000,2025-06-04 00:00:00,LSK/USDT,0.4494,0.4572,0.438,0.4418,9089554.6774,20086746.1741,4928350.1759,10889209.0597,534478,0.4525
1748908800000,2025-06-03 00:00:00,LSK/USDT,0.4499,0.4581,0.4458,0.4492,15219334.4919,33637307.3999,8329632.7118,18409741.1568,957778,0.4524
1748822400000,2025-06-02 00:00:00,LSK/USDT,0.4383,0.4512,0.4348,0.4498,12496692.4739,28142419.6723,6724619.9222,15143944.7989,784531,0.444
1748736000000,2025-06-01 00:00:00,LSK/USDT,0.4335,0.4396,0.4217,0.4386,12291882.0494,28502374.9915,6592481.7366,15286527.4134,784444,0.4312
1748649600000,2025-05-31 00:00:00,LSK/USDT,0.4364,0.4386,0.4267,0.4332,12164484.3304,28103326.6934,6505220.2888,15028678.6416,783888,0.4328
1748563200000,2025-05-30 00:00:00,LSK/USDT,0.4783,0.4812,0.4341,0.4366,12397033.9595,27273483.0347,6617534.3991,14556898.205,780454,0.4547
1748476800000,2025-05-29 00:00:00,LSK/USDT,0.4986,0.5477,0.4741,0.4782,11505603.3324,23493382.6008,6202012.1287,12663806.456,782998,0.4898
1748390400000,2025-05-28 00:00:00,LSK/USDT,0.5084,0.5135,0.4839,0.4987,12590810.1182,25185123.12,6739674.5976,13480861.2026,784240,0.5
1748304000000,2025-05-27 00:00:00,LSK/USDT,0.4943,0.5151,0.4827,0.5086,12261182.7097,24310951.9789,6607290.849,13101532.0993,782891,0.5044
1748217600000,2025-05-26 00:00:00,LSK/USDT,0.5004,0.5065,0.4861,0.4942,12316381.9666,24790601.7534,6604865.6625,13294784.2739,791003,0.4968
