https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AXS,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1750896000000,2025-06-26 00:00:00,AXS/USDT,2.59,2.59,2.59,2.59,0,0,0,0,0,2.57
1750892400000,2025-06-25 23:00:00,AXS/USDT,2.59,2.59,2.59,2.59,0,0,0,0,0,2.57
1750888800000,2025-06-25 22:00:00,AXS/USDT,2.59,2.59,2.59,2.59,0,0,0,0,0,2.57
1750885200000,2025-06-25 21:00:00,AXS/USDT,2.59,2.59,2.59,2.59,0,0,0,0,0,2.57
1750881600000,2025-06-25 20:00:00,AXS/USDT,2.59,2.59,2.59,2.59,0,0,0,0,0,2.57
1750878000000,2025-06-25 19:00:00,AXS/USDT,2.59,2.59,2.59,2.59,0,0,0,0,0,2.57
1750874400000,2025-06-25 18:00:00,AXS/USDT,2.59,2.59,2.59,2.59,0,0,0,0,0,2.57
1750870800000,2025-06-25 17:00:00,AXS/USDT,2.59,2.59,2.59,2.59,0,0,0,0,0,2.57
1750867200000,2025-06-25 16:00:00,AXS/USDT,2.59,2.59,2.59,2.59,0,0,0,0,0,2.57
1750863600000,2025-06-25 15:00:00,AXS/USDT,2.59,2.59,2.59,2.59,0,0,0,0,0,2.57
1750860000000,2025-06-25 14:00:00,AXS/USDT,2.59,2.59,2.59,2.59,0,0,0,0,0,2.57
1750856400000,2025-06-25 13:00:00,AXS/USDT,2.59,2.59,2.59,2.59,0,0,0,0,0,2.57
1750852800000,2025-06-25 12:00:00,AXS/USDT,2.59,2.59,2.59,2.59,0,0,0,0,0,2.57
1750849200000,2025-06-25 11:00:00,AXS/USDT,2.59,2.59,2.59,2.59,0,0,0,0,0,2.57
1750845600000,2025-06-25 10:00:00,AXS/USDT,2.59,2.59,2.59,2.59,0,0,0,0,0,2.57
1750842000000,2025-06-25 09:00:00,AXS/USDT,2.59,2.59,2.59,2.59,0,0,0,0,0,2.57
1750838400000,2025-06-25 08:00:00,AXS/USDT,2.59,2.59,2.59,2.59,0,0,0,0,0,2.57
1750834800000,2025-06-25 07:00:00,AXS/USDT,2.59,2.59,2.59,2.59,0,0,0,0,0,2.57
1750831200000,2025-06-25 06:00:00,AXS/USDT,2.59,2.59,2.59,2.59,0,0,0,0,0,2.57
1750827600000,2025-06-25 05:00:00,AXS/USDT,2.59,2.59,2.59,2.59,0,0,0,0,0,2.57
1750824000000,2025-06-25 04:00:00,AXS/USDT,2.59,2.59,2.59,2.59,0,0,0,0,0,2.57
1750820400000,2025-06-25 03:00:00,AXS/USDT,2.59,2.59,2.59,2.59,0,0,0,0,0,2.57
