Data,preco_hoje,preco_amanha,Previsao,sinal,retorno_estrategia,retorno_hold,capital_estrategia,capital_hold
2024-01-01,43999.21,44958.52,44518.37544525108,1,1.0218028914610058,1.0218028914610058,1021.8028914610057,1021.8028914610057
2024-01-02,44958.52,42854.01,44793.58681902536,0,1.0,0.9531899626589133,1021.8028914610057,973.9722599564857
2024-01-03,42854.01,44154.91,42357.00800556476,0,1.0,1.0303565523973137,1021.8028914610057,1003.5386998993849
2024-01-04,44154.91,44149.3,45379.21479226797,1,0.9998729473120883,0.9998729473120883,1021.6730686571298,1003.4111976101394
2024-01-05,44149.3,43959.09,43840.20132495093,0,1.0,0.9956916644205003,1021.6730686571298,999.0881654466073
2024-01-06,43959.09,43911.02,44047.980863749064,1,0.998906483277975,0.998906483277975,1020.5558520721107,997.9956458309142
2024-01-07,43911.02,46885.91,44043.92036228826,1,1.0677481415826826,1.0677481415826826,1089.6966144313274,1065.6079961435676
2024-01-08,46885.91,46179.72,47744.29969261189,1,0.9849381189359446,0.9849381189359446,1073.283733628859,1049.557935244747
2024-01-09,46179.72,46655.56,45357.71385046708,0,1.0,1.010304090193704,1073.283733628859,1060.3726748730264
2024-01-10,46655.56,46356.73,47312.538304257585,1,0.993594975604194,0.993594975604194,1066.4093251313445,1053.5809620218186
2024-01-11,46356.73,42795.58,46427.724847234065,1,0.9231794391019383,0.9231794391019383,984.4871626278313,972.6442815677832
2024-01-12,42795.58,42900.4,42449.20968188718,0,1.0,1.0024493183641863,984.4871626278313,975.0265970684478
2024-01-13,42900.4,41778.37,44143.17810972024,1,0.9738456984084065,0.9738456984084065,958.7385884634108,949.5254573888946
2024-01-14,41778.37,42516.24,41375.94790288672,0,1.0,1.0176615315532893,958.7385884634108,966.2955312152201
2024-01-15,42516.24,43126.0,43091.545742089984,1,1.0143418138574813,1.0143418138574813,972.4886388371374,980.1539618552248
2024-01-16,43126.0,42783.69,43120.36097437901,0,1.0,0.9920625608681538,972.4886388371374,972.374049443161
2024-01-17,42783.69,41313.13,42728.63350550725,0,1.0,0.9656280232022997,972.4886388371374,938.9516311770147
2024-01-18,41313.13,41650.41,41389.72005357707,1,1.00816399047954,1.00816399047954,980.4280268260646,946.6172233546926
2024-01-19,41650.41,41687.37,42525.14242445297,1,1.0008873862226086,1.0008873862226086,981.2980451493295,947.4572384367815
2024-01-20,41687.37,41569.0,41865.32577671226,1,0.9971605308754186,0.9971605308754186,978.5116796481158,944.766962861379
2024-01-21,41569.0,39558.08,41823.844083225886,1,0.9516245278933821,0.9516245278933821,931.1757151832985,899.0634150022244
2024-01-22,39558.08,39832.65,39319.18332094312,0,1.0,1.006940933432563,931.1757151832985,905.3037543174075
2024-01-23,39832.65,40075.3,40826.53569854862,1,1.0060917363017525,1.0060917363017525,936.848192090791,910.8186260616957
2024-01-24,40075.3,39954.91,40235.87912941476,1,0.9969959052084452,0.9969959052084452,934.0338113164536,908.0824405710927
2024-01-25,39954.91,41817.89,39977.98766653832,1,1.0466270603537837,1.0466270603537837,977.5850622091805,950.4236553338122
2024-01-26,41817.89,42111.08,42637.60819379177,1,1.0070111141427749,1.0070111141427749,984.4390226646008,957.087184065351
2024-01-27,42111.08,42024.08,41839.51406788599,0,1.0,0.9979340354130077,984.4390226646008,955.1098758364078
2024-01-28,42024.08,43289.98,42252.95953135948,1,1.0301232055526262,1.0301232055526262,1014.0934816983529,983.8808469515711
2024-01-29,43289.98,42943.28,43975.206211932215,1,0.991991218291161,0.991991218291161,1005.9718283710744,976.0011600208284
2024-01-30,42943.28,42586.29,42722.252700171666,0,1.0,0.9916869414725658,1005.9718283710744,967.8876052547315
2024-01-31,42586.29,43074.0,42854.08598653436,1,1.0114522772469732,1.0114522772469732,1017.4924966522243,978.9721224540176
